1	No Kichi: no fue una espantosa campaña anti vacunas. Vos y tu esposa no lo entenderían jamas. Un economista y una doctora en letras. Por dios. No entendieron nada. BURROS.
1	@spitta1969 Obviamente, nada hay más PRO vacunas q exigir seriedad y transparencia a las autoridades sanitarias en la aplicación de las vacunas.   Lo q hacen los k no es ser pro vacunas, es ser pro privilegios, pro tongo, pro acuerdos bajo la mesa, pro tranza, etc.
2	Las vacunas de vectores virales no son tecnología vieja, es tecnología nueva.  Lo que no es nuevo es la chantada nacional de hablar sin saber. https://t.co/VKkXjC2C5r
2	@ernestorr Ernesto,las vacunas tienen 2 dosis,pero no todas son iguales,los políticos y muchos periodistas opinan como si supieran.Lamentablemente hay médicos asesores que se nota que están condicionados por la política¿Tiene seriedad hablar de aplicar 1 dosis y diferir la otra,de SputnikV?
3	Las vacunas de vectores virales no son tecnología vieja, es tecnología nueva.  Lo que no es nuevo es la chantada nacional de hablar sin saber. https://t.co/VKkXjC2C5r
3	"@ernestorr No se como no se dan cuenta: ""Sputnik V"" es la sigla de ""Es Putin y K con la V (de la Victoria)""... por eso la gente linda de este país de anglosajones de sangre azul se indigna tanto !!!! Vladimir Putin, Elon Musk, Bill Gates, Jeff Bezos y George Soros trabajan para ella!"
4	Las vacunas de vectores virales no son tecnología vieja, es tecnología nueva.  Lo que no es nuevo es la chantada nacional de hablar sin saber. https://t.co/VKkXjC2C5r
4	"@ernestorr NO VENÍAN LAS VACUNAS  vinieron NO VENÍA LA 2° DOSIS viene LA VACUNA ""RUSA"" NO SIRVE Está en el mundo PROVOCABA EFECTOS GRAVES No los provoca QUE NO LLEGAMOS A VACUNAR Estamos vacunando SPUNICK NO TIENE PAPELES Los tiene ANMAT PARA QUIEN JUEGA PROMUERTE Parecen lobistas de Pfizer"
5	Las vacunas de vectores virales no son tecnología vieja, es tecnología nueva.  Lo que no es nuevo es la chantada nacional de hablar sin saber. https://t.co/VKkXjC2C5r
5	@ernestorr Ya tiró candadito. Un tuit mentiroso e insostenible. En todo caso lo hubiera borrado y aclarado que lo que dijo no era cierto y se equivocó como nos pasa a muchos y me incluyo,si es q iba con la mejor intención(muy optimista yo). Pero no,el orgullo y ego injustificado puede más. https://t.co/DZ2eVttD0h
6	Las vacunas de vectores virales no son tecnología vieja, es tecnología nueva.  Lo que no es nuevo es la chantada nacional de hablar sin saber. https://t.co/VKkXjC2C5r
6	@ernestorr @leoysubrayo Los fanaticos son estúpidos sin importar de que lado vengan, este hilo lo demuestra  con creces, lo único cierto es que la sputnik no fue lo suficientemente testeada y que por eso solo se aplica en rusia, y no demasiado, y en argentina, a fue aprobada en bielorusia
7	Las vacunas de vectores virales no son tecnología vieja, es tecnología nueva.  Lo que no es nuevo es la chantada nacional de hablar sin saber. https://t.co/VKkXjC2C5r
7	@ernestorr Me hace acordar al chiste que decía que los yankees descubrieron que las lapiceras no funcionaban en el espacio, entonces gastaron cien millones de dólares en desarrollar una tecnología nueva de lapiceras que funcionaban en cualquier ambiente. Los rusos usaron un lápiz.
8	El colmo de la corrupción es robar vacunas cuya verdadera eficacia se desconoce. No sé ya si es corrupción o merece otro nombre. Por lo menos robáte de la buenas!
8	@spitta1969 Creo que el solo hecho que pase el tiempo, nos permitirá ver la magnitud de la corrupción a la que pueden llegar, así como la ineptitud más flagrante para administrar el país. Esperemos peores cosas, porque no van a poder mejorar nada. Son esto que estamos viendo.
9	El colmo de la corrupción es robar vacunas cuya verdadera eficacia se desconoce. No sé ya si es corrupción o merece otro nombre. Por lo menos robáte de la buenas!
9	@spitta1969 Creo qué hay que separar los conceptos. Por un lado está la eficacia o no de la vaciaba y por el otro que se haya vacunado gente que no debía, en lugar de quienes  más la necesitaban. Esto último es lo que quedó en evidencia : la existencia de privilegios.
10	El colmo de la corrupción es robar vacunas cuya verdadera eficacia se desconoce. No sé ya si es corrupción o merece otro nombre. Por lo menos robáte de la buenas!
10	@spitta1969 La EFICACIA, NO me preocupa tanto como las CONTRAINDICACIONES y los EFECTOS SECUNDARIOS que pueda tener la VACUNA contra el COVID y que perjudiquen la salud de la gente. Pero a la mayoría, ésto no les preocupa. SINIESTRO
11	El colmo de la corrupción es robar vacunas cuya verdadera eficacia se desconoce. No sé ya si es corrupción o merece otro nombre. Por lo menos robáte de la buenas!
11	@spitta1969 Sandra, en realidad creo que es sólo una trampa.. lo han hecho en otros países.. falsos vacu_nados vip para prestigiar una solución que es más letal que lo que pretende curar.. y con efectos adversos graves ya en el corto plazo, quién sabe en el largo..
